0;LineString(39000 0, 39000 0)
1;LineString(38900 0, 39000 100)
2;LineString(38800 0, 39000 200)
3;LineString(38700 0, 39000 300)
4;LineString(38600 0, 39000 400)
5;LineString(38500 0, 39000 500)
6;LineString(38400 0, 39000 600)
7;LineString(38300 0, 39000 700)
8;LineString(38200 0, 39000 800)
9;LineString(38100 0, 39000 900)
10;LineString(38000 0, 39000 1000)
11;LineString(37900 0, 39000 1100)
12;LineString(37800 0, 39000 1200)
13;LineString(37700 0, 39000 1300)
14;LineString(37600 0, 39000 1400)
15;LineString(37500 0, 39000 1500)
16;LineString(37400 0, 39000 1600)
17;LineString(37300 0, 39000 1700)
18;LineString(37200 0, 39000 1800)
19;LineString(37100 0, 39000 1900)
20;LineString(37000 0, 39000 2000)
21;LineString(36900 0, 39000 2100)
22;LineString(36800 0, 39000 2200)
23;LineString(36700 0, 39000 2300)
24;LineString(36600 0, 39000 2400)
25;LineString(36500 0, 39000 2500)
26;LineString(36400 0, 39000 2600)
27;LineString(36300 0, 39000 2700)
28;LineString(36200 0, 39000 2800)
29;LineString(36100 0, 39000 2900)
30;LineString(36000 0, 39000 3000)
31;LineString(35900 0, 39000 3100)
32;LineString(35800 0, 39000 3200)
33;LineString(35700 0, 39000 3300)
34;LineString(35600 0, 39000 3400)
35;LineString(35500 0, 39000 3500)
36;LineString(35400 0, 39000 3600)
37;LineString(35300 0, 39000 3700)
38;LineString(35200 0, 39000 3800)
39;LineString(35100 0, 39000 3900)
40;LineString(35000 0, 39000 4000)
41;LineString(34900 0, 39000 4100)
42;LineString(34800 0, 39000 4200)
43;LineString(34700 0, 39000 4300)
44;LineString(34600 0, 39000 4400)
45;LineString(34500 0, 39000 4500)
46;LineString(34400 0, 39000 4600)
47;LineString(34300 0, 39000 4700)
48;LineString(34200 0, 39000 4800)
49;LineString(34100 0, 39000 4900)
50;LineString(34000 0, 39000 5000)
51;LineString(33900 0, 39000 5100)
52;LineString(33800 0, 39000 5200)
53;LineString(33700 0, 39000 5300)
54;LineString(33600 0, 39000 5400)
55;LineString(33500 0, 39000 5500)
56;LineString(33400 0, 39000 5600)
57;LineString(33300 0, 39000 5700)
58;LineString(33200 0, 39000 5800)
59;LineString(33100 0, 39000 5900)
60;LineString(33000 0, 39000 6000)
61;LineString(32900 0, 39000 6100)
62;LineString(32800 0, 39000 6200)
63;LineString(32700 0, 39000 6300)
64;LineString(32600 0, 39000 6400)
65;LineString(32500 0, 39000 6500)
66;LineString(32400 0, 39000 6600)
67;LineString(32300 0, 39000 6700)
68;LineString(32200 0, 39000 6800)
69;LineString(32100 0, 39000 6900)
70;LineString(32000 0, 39000 7000)
71;LineString(31900 0, 39000 7100)
72;LineString(31800 0, 39000 7200)
73;LineString(31700 0, 39000 7300)
74;LineString(31600 0, 39000 7400)
75;LineString(31500 0, 39000 7500)
76;LineString(31400 0, 39000 7600)
77;LineString(31300 0, 39000 7700)
78;LineString(31200 0, 39000 7800)
79;LineString(31100 0, 39000 7900)
80;LineString(31000 0, 39000 8000)
81;LineString(30900 0, 39000 8100)
82;LineString(30800 0, 39000 8200)
83;LineString(30700 0, 39000 8300)
84;LineString(30600 0, 39000 8400)
85;LineString(30500 0, 39000 8500)
86;LineString(30400 0, 39000 8600)
87;LineString(30300 0, 39000 8700)
88;LineString(30200 0, 39000 8800)
89;LineString(30100 0, 39000 8900)
90;LineString(30000 0, 39000 9000)
91;LineString(29900 0, 39000 9100)
92;LineString(29800 0, 39000 9200)
93;LineString(29700 0, 39000 9300)
94;LineString(29600 0, 39000 9400)
95;LineString(29500 0, 39000 9500)
96;LineString(29400 0, 39000 9600)
