100;LineString(1574.08 27212.3, 11674.08 37312.3)
101;LineString(1574.08 27112.3, 11774.08 37312.3)
102;LineString(1574.08 27012.3, 11874.08 37312.3)
103;LineString(1574.08 26912.3, 11974.08 37312.3)
104;LineString(1574.08 26812.3, 12074.08 37312.3)
105;LineString(1574.08 26712.3, 12174.08 37312.3)
106;LineString(1574.08 26612.3, 12274.08 37312.3)
107;LineString(1574.08 26512.3, 12374.08 37312.3)
108;LineString(1574.08 26412.3, 12474.08 37312.3)
109;LineString(1574.08 26312.3, 12574.08 37312.3)
110;LineString(1574.08 26212.3, 12674.08 37312.3)
111;LineString(1574.08 26112.3, 12774.08 37312.3)
112;LineString(1574.08 26012.3, 12874.08 37312.3)
113;LineString(1574.08 25912.3, 12974.08 37312.3)
114;LineString(1574.08 25812.3, 13074.08 37312.3)
115;LineString(1574.08 25712.3, 13174.08 37312.3)
116;LineString(1574.08 25612.3, 13274.08 37312.3)
117;LineString(1574.08 25512.3, 13374.08 37312.3)
118;LineString(1574.08 25412.3, 13474.08 37312.3)
119;LineString(1574.08 25312.3, 13574.08 37312.3)
120;LineString(1574.08 25212.3, 13674.08 37312.3)
121;LineString(1574.08 25112.3, 13774.08 37312.3)
122;LineString(1574.08 25012.3, 13874.08 37312.3)
123;LineString(1574.08 24912.3, 13974.08 37312.3)
124;LineString(1574.08 24812.3, 14074.08 37312.3)
125;LineString(1574.08 24712.3, 14174.08 37312.3)
126;LineString(1574.08 24612.3, 14274.08 37312.3)
127;LineString(1574.08 24512.3, 14374.08 37312.3)
128;LineString(1574.08 24412.3, 14474.08 37312.3)
129;LineString(1574.08 24312.3, 14574.08 37312.3)
130;LineString(1574.08 24212.3, 14674.08 37312.3)
131;LineString(1574.08 24112.3, 14774.08 37312.3)
132;LineString(1574.08 24012.3, 14874.08 37312.3)
133;LineString(1574.08 23912.3, 14974.08 37312.3)
134;LineString(1574.08 23812.3, 15074.08 37312.3)
135;LineString(1574.08 23712.3, 15174.08 37312.3)
